precision,avg_cka,batch_size,learning_rate
2,0.0,16,0.1
2,0.04688486156778203,16,0.05
2,0.23520346981887189,16,0.025
2,0.4132511851300175,16,0.0125
2,0.4685593959358003,16,0.00625
2,0.4644092155827416,16,0.003125
2,0.5060344346695476,16,0.0015625
2,0.0,32,0.1
2,0.3665824161014623,32,0.05
2,0.3283779527995042,32,0.025
2,0.07926512512171434,32,0.0125
2,0.2097241490873163,32,0.00625
2,0.644201341809498,32,0.003125
2,0.6536948912673526,32,0.0015625
2,0.0,64,0.1
2,0.05586556593577067,64,0.05
2,0.6857492667105463,64,0.025
2,0.05435471234118773,64,0.0125
2,0.12720369627117936,64,0.00625
2,0.5155745409429073,64,0.003125
2,0.5902399139271842,64,0.0015625
2,0.0,128,0.1
2,0.3497588286797206,128,0.05
2,0.6251670809255706,128,0.025
2,0.16662773829338315,128,0.0125
2,0.7427107791105906,128,0.00625
2,0.5644222531053755,128,0.003125
2,0.5333307840757899,128,0.0015625
2,0.0,256,0.1
2,0.0,256,0.05
2,0.528151583754354,256,0.025
2,0.17080344428864513,256,0.0125
2,0.3108747475263145,256,0.00625
2,0.4780684733349416,256,0.003125
2,0.7956096827983856,256,0.0015625
2,0.0,512,0.1
2,0.6068447515782383,512,0.05
2,0.5382128109534582,512,0.025
2,0.04339495740107225,512,0.0125
2,0.2830385365264697,512,0.00625
2,0.7088281959295273,512,0.003125
2,0.6851701670222812,512,0.0015625
2,0.0,1024,0.1
2,0.33738632169034743,1024,0.05
2,0.5765291005373001,1024,0.025
2,0.2767715286535377,1024,0.0125
2,0.3611758327525523,1024,0.00625
2,0.5619850816826025,1024,0.003125
2,0.7424105472034879,1024,0.0015625
3,0.0,16,0.1
3,0.6724677840567084,16,0.05
3,0.30008710941506755,16,0.025
3,0.292905664899283,16,0.0125
3,0.7956587539778815,16,0.00625
3,0.8012753195232816,16,0.003125
3,0.8543631898032295,16,0.0015625
3,0.0,32,0.1
3,0.19994248284233943,32,0.05
3,0.4059416871815402,32,0.025
3,0.24895929959085253,32,0.0125
3,0.8292020029491849,32,0.00625
3,0.8176196813583374,32,0.003125
3,0.8790412942568461,32,0.0015625
3,0.0,64,0.1
3,0.11165391405423482,64,0.05
3,0.6092691750576098,64,0.025
3,0.2850200737723046,64,0.0125
3,0.7738773657215966,64,0.00625
3,0.8803961177666982,64,0.003125
3,0.747278705239296,64,0.0015625
3,0.0,128,0.1
3,0.5849211852635361,128,0.05
3,0.3685751206747452,128,0.025
3,0.20571360687214954,128,0.0125
3,0.39299601254363853,128,0.00625
3,0.8439088894261254,128,0.003125
3,0.8083335922824012,128,0.0015625
3,0.0,256,0.1
3,0.18628281391769025,256,0.05
3,0.8822362588511573,256,0.025
3,0.3991529225475258,256,0.0125
3,0.843531092007955,256,0.00625
3,0.8191651701927185,256,0.003125
3,0.8740186558829414,256,0.0015625
3,0.0,512,0.1
3,0.3265296783712175,512,0.05
3,0.8654201428095499,512,0.025
3,0.365599961951375,512,0.0125
3,0.8557484514183468,512,0.00625
3,0.79687785771158,512,0.003125
3,0.8234421610832214,512,0.0015625
3,0.0,1024,0.1
3,0.7063782762173407,1024,0.05
3,0.9193504485819075,1024,0.025
3,0.48293864147530663,1024,0.0125
3,0.754644407166375,1024,0.00625
3,0.7092906170421176,1024,0.003125
3,0.7601916376087401,1024,0.0015625
4,0.1493390633000268,16,0.1
4,0.46621810065375435,16,0.05
4,0.4319063567866882,16,0.025
4,0.7307636025879118,16,0.0125
4,0.7974376579125722,16,0.00625
4,0.8960389461782243,16,0.003125
4,0.9509464734130436,16,0.0015625
4,0.0,32,0.1
4,0.7311442328823937,32,0.05
4,0.10695064207538962,32,0.025
4,0.3947519510984421,32,0.0125
4,0.8631435765160455,32,0.00625
4,0.8379394047790104,32,0.003125
4,0.8843968874878354,32,0.0015625
4,0.0,64,0.1
4,0.433635585837894,64,0.05
4,0.18775558047410515,64,0.025
4,0.5949546496073406,64,0.0125
4,0.7938400440745883,64,0.00625
4,0.9424053099420335,64,0.003125
4,0.885488384299808,64,0.0015625
4,0.0,128,0.1
4,0.9066353638966879,128,0.05
4,0.6589430620272954,128,0.025
4,0.4720725624097718,128,0.0125
4,0.8630710376633538,128,0.00625
4,0.8820955521530576,128,0.003125
4,0.7552586595217387,128,0.0015625
4,0.0,256,0.1
4,0.5494232148501194,256,0.05
4,0.8858567972977957,256,0.025
4,0.407394341710541,256,0.0125
4,0.8425499863094754,256,0.00625
4,0.8743188579877218,256,0.003125
4,0.8337626225418515,256,0.0015625
4,0.0,512,0.1
4,0.7975428278247515,512,0.05
4,0.8478254460626178,512,0.025
4,0.20321174509202442,512,0.0125
4,0.779796815580792,512,0.00625
4,0.8216435843043857,512,0.003125
4,0.7687640620602502,512,0.0015625
4,0.0,1024,0.1
4,0.28188956942823196,1024,0.05
4,0.8459401296244727,1024,0.025
4,0.3705364205977983,1024,0.0125
4,0.7555902434719933,1024,0.00625
4,0.8402343855963813,1024,0.003125
4,0.8117340803146362,1024,0.0015625
5,0.0,16,0.1
5,0.8298912263578839,16,0.05
5,0.5111323984132873,16,0.025
5,0.7328897780842252,16,0.0125
5,0.9080973698033227,16,0.00625
5,0.8785248431894515,16,0.003125
5,0.9024108019140031,16,0.0015625
5,0.0,32,0.1
5,0.3754914369848039,32,0.05
5,0.10957915211717288,32,0.025
5,0.20507938399290043,32,0.0125
5,0.8592183921072218,32,0.00625
5,0.8249448239803314,32,0.003125
5,0.9327092601193322,32,0.0015625
5,0.0,64,0.1
5,0.6961972307827737,64,0.05
5,0.7651938696702321,64,0.025
5,0.27780007757246494,64,0.0125
5,0.8474894364674886,64,0.00625
5,0.8822587960296207,64,0.003125
5,0.8457563486364152,64,0.0015625
5,0.0,128,0.1
5,0.5178109899991088,128,0.05
5,0.4622592721134424,128,0.025
5,0.3505141555021207,128,0.0125
5,0.8659685452779134,128,0.00625
5,0.7521307004822625,128,0.003125
5,0.7012756864229838,128,0.0015625
5,0.0,256,0.1
5,0.8302377462387085,256,0.05
5,0.5715644011894861,256,0.025
5,0.3584875294731723,256,0.0125
5,0.6980208141936196,256,0.00625
5,0.824462847577201,256,0.003125
5,0.6702187789811028,256,0.0015625
5,0.0,512,0.1
5,0.38644510384054026,512,0.05
5,0.8175163964430492,512,0.025
5,0.389133511732022,512,0.0125
5,0.775645621948772,512,0.00625
5,0.7286084625456068,512,0.003125
5,0.7423785494433509,512,0.0015625
5,0.0,1024,0.1
5,0.32328952766127056,1024,0.05
5,0.8229952553908031,1024,0.025
5,0.8266130122873518,1024,0.0125
5,0.8455552061398824,1024,0.00625
5,0.6442272712786993,1024,0.003125
5,0.7893244557910495,1024,0.0015625
6,0.0,16,0.1
6,0.5212067663669586,16,0.05
6,0.25154417587651146,16,0.025
6,0.23850305875142416,16,0.0125
6,0.7491719259156121,16,0.00625
6,0.8760681748390198,16,0.003125
6,0.8774859110514323,16,0.0015625
6,0.0,32,0.1
6,0.8606438069707818,32,0.05
6,0.0,32,0.025
6,0.4086367276807626,32,0.0125
6,0.9128264619244469,32,0.00625
6,0.8772570159700182,32,0.003125
6,0.8922662668757968,32,0.0015625
6,0.05555478400654263,64,0.1
6,0.3013872040642632,64,0.05
6,0.3443096542937888,64,0.025
6,0.44954129887951744,64,0.0125
6,0.8017534911632538,64,0.00625
6,0.8114532497194078,64,0.003125
6,0.825755281580819,64,0.0015625
6,0.0,128,0.1
6,0.8419452971882291,128,0.05
6,0.4070076710648007,128,0.025
6,0.4619920813253949,128,0.0125
6,0.7774087654219733,128,0.00625
6,0.8550148010253906,128,0.003125
6,0.7384654117955102,128,0.0015625
6,0.0,256,0.1
6,0.6403797349582115,256,0.05
6,0.0801047063658997,256,0.025
6,0.453278705270754,256,0.0125
6,0.8739673925770653,256,0.00625
6,0.8780358135700226,256,0.003125
6,0.8018756541940901,256,0.0015625
6,0.0,512,0.1
6,0.5267168011309372,512,0.05
6,0.7752101793885231,512,0.025
6,0.7333658205138313,512,0.0125
6,0.7774240407678816,512,0.00625
6,0.7016815344492594,512,0.003125
6,0.776837999622027,512,0.0015625
6,0.0,1024,0.1
6,0.6779572268327078,1024,0.05
6,0.836614438229137,1024,0.025
6,0.6986683011054993,1024,0.0125
6,0.7156090123785867,1024,0.00625
6,0.7397390107313792,1024,0.003125
6,0.7447163926230537,1024,0.0015625
7,0.0,16,0.1
7,0.6246417065461477,16,0.05
7,0.2229284511672126,16,0.025
7,0.43984223985009724,16,0.0125
7,0.7783953183227115,16,0.00625
7,0.8264477385414971,16,0.003125
7,0.7782392667399513,16,0.0015625
7,0.0,32,0.1
7,0.8425748017099168,32,0.05
7,0.2404531915154722,32,0.025
7,0.240316956045313,32,0.0125
7,0.8383791711595323,32,0.00625
7,0.7713011735015445,32,0.003125
7,0.8733609384960599,32,0.0015625
7,0.0,64,0.1
7,0.4690994736172595,64,0.05
7,0.02907871599826548,64,0.025
7,0.596248533990648,64,0.0125
7,0.437282093948792,64,0.00625
7,0.6933550089597702,64,0.003125
7,0.7757976386282179,64,0.0015625
7,0.0,128,0.1
7,0.38001606680659783,128,0.05
7,0.299639283782906,128,0.025
7,0.5539251532819536,128,0.0125
7,0.7385371658537123,128,0.00625
7,0.7740630076991187,128,0.003125
7,0.7506783439053429,128,0.0015625
7,0.0,256,0.1
7,0.7201883010566235,256,0.05
7,0.1865214616474178,256,0.025
7,0.7037782404157851,256,0.0125
7,0.7174108955595229,256,0.00625
7,0.7488914993074205,256,0.003125
7,0.732251935535007,256,0.0015625
7,0.0,512,0.1
7,0.3292112780941857,512,0.05
7,0.796513706445694,512,0.025
7,0.8531942168871561,512,0.0125
7,0.7905436754226685,512,0.00625
7,0.7982140911950005,512,0.003125
7,0.7908610436651442,512,0.0015625
7,0.0,1024,0.1
7,0.8178622325261434,1024,0.05
7,0.8113340437412262,1024,0.025
7,0.6882607986529669,1024,0.0125
7,0.7556597656673856,1024,0.00625
7,0.7767229808701409,1024,0.003125
7,0.698866077595287,1024,0.0015625
8,0.0,16,0.1
8,0.7770554762747552,16,0.05
8,0.2715885419812467,16,0.025
8,0.5778306358390385,16,0.0125
8,0.5797212405337228,16,0.00625
8,0.7355165481567383,16,0.003125
8,0.7857475247648027,16,0.0015625
8,0.0,32,0.1
8,0.4477100025655495,32,0.05
8,0.059498327473799385,32,0.025
8,0.45596055686473846,32,0.0125
8,0.6499871661265691,32,0.00625
8,0.794765786992179,32,0.003125
8,0.8002778424157037,32,0.0015625
8,0.0,64,0.1
8,0.680099138783084,64,0.05
8,0.0974059250826637,64,0.025
8,0.6173813359604942,64,0.0125
8,0.6050279057688184,64,0.00625
8,0.7430873811244965,64,0.003125
8,0.8355152044031355,64,0.0015625
8,0.0,128,0.1
8,0.8992367767625384,128,0.05
8,0.04708906739122338,128,0.025
8,0.5332417355643378,128,0.0125
8,0.6097712284988828,128,0.00625
8,0.7430914541085561,128,0.003125
8,0.8699481520387862,128,0.0015625
8,0.0,256,0.1
8,0.5419785893625684,256,0.05
