precision,avg_EF,batch_size,learning_rate
2,0.0,16,0.1
2,0.0,16,0.05
2,0.0,16,0.025
2,0.0,16,0.0125
2,2.0149417e-05,16,0.00625
2,0.0001331789,16,0.003125
2,0.003373316,16,0.0015625
2,0.0,32,0.1
2,0.0,32,0.05
2,0.0,32,0.025
2,0.0,32,0.0125
2,5.312518e-05,32,0.00625
2,0.00026606378,32,0.003125
2,0.0002466999,32,0.0015625
2,0.0,64,0.1
2,0.0,64,0.05
2,5.5529477e-24,64,0.025
2,0.00025710487,64,0.0125
2,1.37484e-06,64,0.00625
2,1.5390962e-05,64,0.003125
2,1.2468703e-05,64,0.0015625
2,0.0,128,0.1
2,0.0,128,0.05
2,1.09041716e-26,128,0.025
2,0.0,128,0.0125
2,0.003073417,128,0.00625
2,0.00039485277,128,0.003125
2,0.017703548,128,0.0015625
2,0.0,256,0.1
2,0.0,256,0.05
2,0.0,256,0.025
2,0.0,256,0.0125
2,0.0071079643,256,0.00625
2,0.11928907,256,0.003125
2,0.00014905655,256,0.0015625
2,0.0,512,0.1
2,0.0,512,0.05
2,3e-45,512,0.025
2,1.5655713e-05,512,0.0125
2,0.00017519122,512,0.00625
2,0.0019581732,512,0.003125
2,0.0177011,512,0.0015625
2,0.0,1024,0.1
2,0.0,1024,0.05
2,1.114301e-39,1024,0.025
2,1.10528025e-14,1024,0.0125
2,3.615769,1024,0.00625
2,0.010890047,1024,0.003125
2,0.39998525,1024,0.0015625
3,0.0,16,0.1
3,0.0,16,0.05
3,0.36284027,16,0.025
3,0.0027176647,16,0.0125
3,0.021407457,16,0.00625
3,0.008840047,16,0.003125
3,0.008703283,16,0.0015625
3,0.0,32,0.1
3,0.0,32,0.05
3,0.0,32,0.025
3,0.0086778635,32,0.0125
3,0.00718798,32,0.00625
3,0.0026253578,32,0.003125
3,6.122033e-05,32,0.0015625
3,0.0,64,0.1
3,0.0,64,0.05
3,4.0288635e-31,64,0.025
3,0.0,64,0.0125
3,0.001154258,64,0.00625
3,0.00037459057,64,0.003125
3,6.916151e-05,64,0.0015625
3,0.0,128,0.1
3,0.0,128,0.05
3,0.0014467121,128,0.025
3,0.06423175,128,0.0125
3,0.0006155011,128,0.00625
3,0.00026928983,128,0.003125
3,0.00046080592,128,0.0015625
3,0.0,256,0.1
3,0.0,256,0.05
3,1.6149643e-30,256,0.025
3,0.009180655,256,0.0125
3,0.0003909696,256,0.00625
3,0.01130115,256,0.003125
3,0.002261653,256,0.0015625
3,0.0,512,0.1
3,0.0,512,0.05
3,3.516418e-39,512,0.025
3,0.0030638396,512,0.0125
3,0.00022715142,512,0.00625
3,0.0004808657,512,0.003125
3,0.005200136,512,0.0015625
3,0.0,1024,0.1
3,0.0,1024,0.05
3,1.1740943e-35,1024,0.025
3,0.010493731,1024,0.0125
3,0.010604444,1024,0.00625
3,0.008302548,1024,0.003125
3,0.049879223,1024,0.0015625
4,0.0,16,0.1
4,0.0,16,0.05
4,0.0120202,16,0.025
4,0.0341285,16,0.0125
4,0.16631609,16,0.00625
4,0.02276788,16,0.003125
4,0.008419914,16,0.0015625
4,0.0,32,0.1
4,0.0,32,0.05
4,0.01369343,32,0.025
4,0.06480697,32,0.0125
4,0.3376311,32,0.00625
4,0.00087586814,32,0.003125
4,0.00069475145,32,0.0015625
4,0.0,64,0.1
4,6.992e-42,64,0.05
4,0.024365978,64,0.025
4,0.24515252,64,0.0125
4,0.024194574,64,0.00625
4,0.0013316976,64,0.003125
4,0.0030953921,64,0.0015625
4,0.0,128,0.1
4,0.0,128,0.05
4,1.3709005e-27,128,0.025
4,0.07294238,128,0.0125
4,0.0002469744,128,0.00625
4,0.0024685957,128,0.003125
4,0.03325615,128,0.0015625
4,0.0,256,0.1
4,7.926151e-21,256,0.05
4,1.5834637e-22,256,0.025
4,0.08162078,256,0.0125
4,0.0069162766,256,0.00625
4,0.014282164,256,0.003125
4,0.022090575,256,0.0015625
4,0.0,512,0.1
4,0.0,512,0.05
4,8.283533e-31,512,0.025
4,0.05144355,512,0.0125
4,0.14968325,512,0.00625
4,0.0128163295,512,0.003125
4,0.023150876,512,0.0015625
4,0.0,1024,0.1
4,0.0,1024,0.05
4,1.0639285e-34,1024,0.025
4,0.0,1024,0.0125
4,0.034413815,1024,0.00625
4,0.06909793,1024,0.003125
4,0.025587697,1024,0.0015625
5,0.0,16,0.1
5,0.0,16,0.05
5,0.0072247875,16,0.025
5,0.08856394,16,0.0125
5,0.10678427,16,0.00625
5,0.08232097,16,0.003125
5,0.14705227,16,0.0015625
5,0.0,32,0.1
5,0.0,32,0.05
5,0.0,32,0.025
5,0.03454822,32,0.0125
5,0.13240476,32,0.00625
5,0.08337595,32,0.003125
5,0.29093078,32,0.0015625
5,0.0,64,0.1
5,0.0,64,0.05
5,5.075236e-25,64,0.025
5,0.010248452,64,0.0125
5,0.11333439,64,0.00625
5,0.18782812,64,0.003125
5,0.11158232,64,0.0015625
5,0.0,128,0.1
5,0.0,128,0.05
5,0.27919546,128,0.025
5,0.12333895,128,0.0125
5,0.09498869,128,0.00625
5,0.5804209,128,0.003125
5,0.5522615,128,0.0015625
5,0.0,256,0.1
5,0.0,256,0.05
5,5.1235567e-20,256,0.025
5,0.21917503,256,0.0125
5,0.041016676,256,0.00625
5,0.06135631,256,0.003125
5,0.09345294,256,0.0015625
5,0.0,512,0.1
5,0.0,512,0.05
5,6.0684235e-29,512,0.025
5,0.24583158,512,0.0125
5,0.13431844,512,0.00625
5,0.5904982,512,0.003125
5,0.21403836,512,0.0015625
5,0.0,1024,0.1
5,0.0,1024,0.05
5,3.24526e-24,1024,0.025
5,0.26190966,1024,0.0125
5,0.5584472,1024,0.00625
5,0.0934126,1024,0.003125
5,0.06952416,1024,0.0015625
6,0.0,16,0.1
6,0.0,16,0.05
6,0.0,16,0.025
6,0.057051346,16,0.0125
6,0.09464623,16,0.00625
6,0.07512343,16,0.003125
6,0.1665148,16,0.0015625
6,0.0,32,0.1
6,2.432e-41,32,0.05
6,0.036475223,32,0.025
6,0.10229265,32,0.0125
6,0.03231996,32,0.00625
6,0.07828187,32,0.003125
6,0.19723639,32,0.0015625
6,0.0,64,0.1
6,0.0,64,0.05
6,0.09933478,64,0.025
6,0.058649875,64,0.0125
6,0.08713291,64,0.00625
6,0.23212656,64,0.003125
6,0.47179446,64,0.0015625
6,0.0,128,0.1
6,0.0,128,0.05
6,0.0075750086,128,0.025
6,0.11131618,128,0.0125
6,0.35536608,128,0.00625
6,0.6458738,128,0.003125
6,0.93600714,128,0.0015625
6,0.0,256,0.1
6,0.0,256,0.05
6,0.0,256,0.025
6,0.3481932,256,0.0125
6,0.40166575,256,0.00625
6,0.8668615,256,0.003125
6,0.98483837,256,0.0015625
6,0.0,512,0.1
6,1.3802185e-16,512,0.05
6,6.787802e-19,512,0.025
6,0.5823203,512,0.0125
6,0.10958672,512,0.00625
6,0.26775172,512,0.003125
6,0.08421431,512,0.0015625
6,0.0,1024,0.1
6,0.0,1024,0.05
6,1.5436833e-20,1024,0.025
6,1.865807,1024,0.0125
6,0.38076898,1024,0.00625
6,0.28843474,1024,0.003125
6,0.38032088,1024,0.0015625
7,0.0,16,0.1
7,0.0,16,0.05
7,0.07904013,16,0.025
7,0.08348355,16,0.0125
7,0.07888419,16,0.00625
7,0.08652794,16,0.003125
7,0.15066426,16,0.0015625
7,0.0,32,0.1
7,1.46422e-40,32,0.05
7,0.034743883,32,0.025
7,0.026861196,32,0.0125
7,0.047496933,32,0.00625
7,0.15149876,32,0.003125
7,0.115832224,32,0.0015625
7,0.0,64,0.1
7,0.0,64,0.05
7,0.04164031,64,0.025
7,0.07591369,64,0.0125
7,0.15717082,64,0.00625
7,0.25140813,64,0.003125
7,0.27725834,64,0.0015625
7,0.0,128,0.1
7,0.0,128,0.05
7,0.022006093,128,0.025
7,0.106389984,128,0.0125
7,0.38490242,128,0.00625
7,0.53756714,128,0.003125
7,0.49524423,128,0.0015625
7,0.0,256,0.1
7,0.0,256,0.05
7,0.20124263,256,0.025
7,0.22642897,256,0.0125
7,1.0505723,256,0.00625
7,0.6160884,256,0.003125
7,0.5322991,256,0.0015625
7,0.0,512,0.1
7,0.0,512,0.05
7,8.80547e-23,512,0.025
7,0.7574853,512,0.0125
7,1.7277572,512,0.00625
7,1.1641643,512,0.003125
7,0.10441144,512,0.0015625
7,0.0,1024,0.1
7,0.0,1024,0.05
7,2.4321649e-21,1024,0.025
7,0.39073786,1024,0.0125
7,0.7572171,1024,0.00625
7,0.6404216,1024,0.003125
7,0.04512486,1024,0.0015625
8,0.0,16,0.1
8,0.0,16,0.05
8,0.021615688,16,0.025
8,0.056758214,16,0.0125
8,0.050980885,16,0.00625
8,0.12403489,16,0.003125
8,0.17356604,16,0.0015625
8,0.0,32,0.1
8,0.053587545,32,0.05
8,0.038099475,32,0.025
8,0.045176506,32,0.0125
8,0.062788576,32,0.00625
8,0.047175173,32,0.003125
8,0.10520119,32,0.0015625
8,0.0,64,0.1
8,0.0,64,0.05
8,0.0896081,64,0.025
8,0.09485923,64,0.0125
8,0.14012289,64,0.00625
8,0.39586082,64,0.003125
8,0.2709147,64,0.0015625
8,0.0,128,0.1
8,5.9948664e-38,128,0.05
8,0.879106,128,0.025
8,0.23947059,128,0.0125
8,0.2786021,128,0.00625
8,0.38895467,128,0.003125
8,0.3477041,128,0.0015625
8,0.0,256,0.1
8,0.0,256,0.05
8,5.0714993,256,0.025
8,0.92761624,256,0.0125
8,0.20950365,256,0.00625
8,1.2419047,256,0.003125
8,0.034141935,256,0.0015625
8,0.0,512,0.1
8,8.832991e-39,512,0.05
8,3.927236e-20,512,0.025
8,0.16540115,512,0.0125
8,0.2324918,512,0.00625
8,0.11491798,512,0.003125
8,0.04587072,512,0.0015625
8,0.0,1024,0.1
8,0.0,1024,0.05
8,3.6738312e-19,1024,0.025
8,3.3204215,1024,0.0125
8,0.12877917,1024,0.00625
8,0.058441054,1024,0.003125
8,0.030003475,1024,0.0015625
9,0.0,16,0.1
9,0.10555549,16,0.05
9,0.13589194,16,0.025
9,0.038942352,16,0.0125
9,0.17137724,16,0.00625
9,0.11322946,16,0.003125
9,0.09416983,16,0.0015625
9,0.0,32,0.1
9,2.91e-43,32,0.05
9,0.8981146,32,0.025
9,0.04115554,32,0.0125
9,0.029376142,32,0.00625
9,0.098422006,32,0.003125
9,0.09394364,32,0.0015625
9,0.0,64,0.1
9,0.0,64,0.05
9,0.0827883,64,0.025
9,0.0549455,64,0.0125
9,0.05277334,64,0.00625
9,0.28533503,64,0.003125
9,0.05619966,64,0.0015625
9,0.0,128,0.1
9,0.0,128,0.05
9,0.1542608,128,0.025
9,0.101764314,128,0.0125
9,0.13745177,128,0.00625
9,0.21097052,128,0.003125
9,0.108207665,128,0.0015625
9,0.0,256,0.1
9,0.0,256,0.05
9,5.686714e-13,256,0.025
9,0.22627717,256,0.0125
9,0.43930644,256,0.00625
9,0.3097869,256,0.003125
9,0.10703154,256,0.0015625
9,1.9426678e-13,512,0.1
9,1.133231e-37,512,0.05
9,1.8147477e-17,512,0.025
9,0.16369636,512,0.0125
9,0.2782282,512,0.00625
9,0.20221607,512,0.003125
9,0.045895025,512,0.0015625
9,0.0,1024,0.1
9,0.0,1024,0.05
9,7.69462e-23,1024,0.025
9,0.2722112,1024,0.0125
9,0.16051346,1024,0.00625
9,0.15213941,1024,0.003125
9,0.05394739,1024,0.0015625
10,0.0,16,0.1
10,3.5246034e-30,16,0.05
10,0.021990232,16,0.025
10,0.03157198,16,0.0125
10,0.13671204,16,0.00625
10,0.08548913,16,0.003125
10,0.06573338,16,0.0015625
10,0.0,32,0.1
10,0.0,32,0.05
10,0.0,32,0.025
10,0.06771319,32,0.0125
10,0.038077552,32,0.00625
10,0.051070068,32,0.003125
10,0.08327099,32,0.0015625
10,0.0,64,0.1
10,2.19191e-40,64,0.05
10,0.108097546,64,0.025
10,0.054023985,64,0.0125
10,0.042102206,64,0.00625
10,0.15897734,64,0.003125
10,0.104120925,64,0.0015625
10,0.0,128,0.1
10,0.0,128,0.05
10,0.20600337,128,0.025
10,0.22398287,128,0.0125
10,0.19943321,128,0.00625
10,0.21472567,128,0.003125
10,0.24331559,128,0.0015625
10,6.896231e-35,256,0.1
10,1.26e-43,256,0.05
10,9.457e-42,256,0.025
10,0.26705885,256,0.0125
10,0.22551505,256,0.00625
10,0.086959034,256,0.003125
10,0.06150095,256,0.0015625
10,0.0,512,0.1
10,0.0,512,0.05
10,3.808965e-20,512,0.025
10,0.08500281,512,0.0125
10,0.121121384,512,0.00625
10,0.08278157,512,0.003125
10,0.04873918,512,0.0015625
10,0.0,1024,0.1
10,0.0,1024,0.05
10,1.6386354,1024,0.025
10,0.5385832,1024,0.0125
10,0.08173086,1024,0.00625
10,0.22235444,1024,0.003125
10,0.059374783,1024,0.0015625
11,0.0,16,0.1
11,0.0,16,0.05
11,0.013675004,16,0.025
11,0.10865625,16,0.0125
11,0.036537725,16,0.00625
11,0.09927652,16,0.003125
11,0.095627986,16,0.0015625
11,0.0,32,0.1
11,1.139e-42,32,0.05
11,0.6448825,32,0.025
11,0.04672797,32,0.0125
11,0.051793337,32,0.00625
11,0.06198879,32,0.003125
11,0.06359266,32,0.0015625
11,0.0,64,0.1
11,0.0,64,0.05
11,0.059631325,64,0.025
11,0.057547882,64,0.0125
11,0.047578473,64,0.00625
11,0.070148356,64,0.003125
11,0.08645897,64,0.0015625
11,0.0,128,0.1
11,0.0,128,0.05
11,0.14009431,128,0.025
11,0.12674993,128,0.0125
11,0.104428135,128,0.00625
11,0.148651,128,0.003125
11,0.06269824,128,0.0015625
11,0.0,256,0.1
11,0.0,256,0.05
11,5.0599015e-23,256,0.025
11,0.19060771,256,0.0125
11,0.17484021,256,0.00625
11,0.09063099,256,0.003125
11,0.110406116,256,0.0015625
11,0.0,512,0.1
11,5.944516e-28,512,0.05
11,1.0803537e-14,512,0.025
11,0.5845625,512,0.0125
11,0.08371751,512,0.00625
11,0.058973376,512,0.003125
11,0.043581106,512,0.0015625
11,0.0,1024,0.1
11,0.0,1024,0.05
11,4.0662474e-14,1024,0.025
11,0.058777165,1024,0.0125
11,0.059361607,1024,0.00625
11,0.078947015,1024,0.003125
11,0.07264692,1024,0.0015625
