precision,trace,eigenvalue,batch_size,learning_rate
2,0.0,0.0,16,0.1
2,0.0,0.0,16,0.05
2,1.248437801996867,0.6242176493008932,16,0.025
2,1.2156139612197876,0.6078059474627177,16,0.0125
2,7158.27979850769,44.27803166707357,16,0.00625
2,24677.18807220459,97.77921549479167,16,0.003125
2,3528.6452770233154,-149.52750142415366,16,0.0015625
2,0.0,0.0,32,0.1
2,0.0,0.0,32,0.05
2,1.3828505277633667,0.6914239327112833,32,0.025
2,41.36257805426916,0.6298113067944845,32,0.0125
2,6239.433267434438,25.97740936279297,32,0.00625
2,7956.436084747314,35.1137949625651,32,0.003125
2,19042.460076649983,60.415391286214195,32,0.0015625
2,0.0,0.0,64,0.1
2,0.0,0.0,64,0.05
2,-5.4145613999718204e-12,-8.71170320168244e-17,64,0.025
2,2619.301335697373,21.55498441060384,64,0.0125
2,2596.4807085990906,22.959614435831707,64,0.00625
2,28329.623677571613,142.74517059326172,64,0.003125
2,67575.31636555989,204.873291015625,64,0.0015625
2,0.0,0.0,128,0.1
2,0.0,0.0,128,0.05
2,-1.8111822376258868e-11,-9.184977522888561e-16,128,0.025
2,66.16408569614093,0.6368047197659811,128,0.0125
2,6826.682675043742,22.79838752746582,128,0.00625
2,10468.509649276733,39.28432973225912,128,0.003125
2,13531.47492980957,29.967379887898762,128,0.0015625
2,0.0,0.0,256,0.1
2,0.0,0.0,256,0.05
2,-3.5755707375917434e-23,-1.738751008652377e-26,256,0.025
2,66.42675018807252,0.632572591304779,256,0.0125
2,13313.918476104736,65.82966486612956,256,0.00625
2,29755.22674560547,117.79465230305989,256,0.003125
2,13316.521288553873,37.18224843343099,256,0.0015625
2,0.0,0.0,512,0.1
2,0.0,0.0,512,0.05
2,-8.915639654516675e-20,-1.49051338199434e-23,512,0.025
2,50277.6969909668,462.05760701497394,512,0.0125
2,25322.093121846516,119.22488911946614,512,0.00625
2,11302.755341847738,34.84755643208822,512,0.003125
2,13153.693834940592,46.10491943359375,512,0.0015625
2,0.0,0.0,1024,0.1
2,0.0,0.0,1024,0.05
2,-1.601754920427847e-16,-2.899656595704063e-21,1024,0.025
2,-0.0006235744806180795,-6.430195298889885e-06,1024,0.0125
2,43976.48504130045,227.09434254964194,1024,0.00625
2,12801.244383494059,38.1304734547933,1024,0.003125
2,16470.365862528484,46.40963363647461,1024,0.0015625
3,0.0,0.0,16,0.1
3,0.0,0.0,16,0.05
3,130058055.20833333,1120307.7291666667,16,0.025
3,250859.09088134766,629.1196085611979,16,0.0125
3,25808.205240885418,45.220601399739586,16,0.00625
3,16768.46677907308,30.467519124348957,16,0.003125
3,7093.528835932414,25.84407679239909,16,0.0015625
3,0.0,0.0,32,0.1
3,0.0,0.0,32,0.05
3,1.212310791015625,0.6061542630195618,32,0.025
3,98669.06030273438,225.1467030843099,32,0.0125
3,54166.31455993652,139.3704096476237,32,0.00625
3,3790.130942861239,20.275033315022785,32,0.003125
3,29991.994753519695,135.3987070719401,32,0.0015625
3,0.0,0.0,64,0.1
3,-1.3035367088053805e-33,-7.796521825563152e-37,64,0.05
3,-3.270449266490425e-16,-5.129175470403836e-20,64,0.025
3,1080.4653241684039,10.053614298502604,64,0.0125
3,20032.539090474445,34.82100741068522,64,0.00625
3,3983.868856648604,42.97262318929037,64,0.003125
3,34345.55945841471,103.35699208577473,64,0.0015625
3,62.653367310762405,0.6251389185587565,128,0.1
3,0.0,0.0,128,0.05
3,86312.62147013347,454.8956654866536,128,0.025
3,14418.767261346182,72.6534818013509,128,0.0125
3,52829.141276041664,84.1610107421875,128,0.00625
3,18003.74933560689,83.73305257161458,128,0.003125
3,43088.685694376625,182.95154317220053,128,0.0015625
3,0.0,0.0,256,0.1
3,0.0,0.0,256,0.05
3,-1.2286542296919599e-13,-1.0953582264367434e-17,256,0.025
3,87396.47954305013,143.34484100341797,256,0.0125
3,26520.991841634113,45.36207580566406,256,0.00625
3,21754.360038757324,31.440696080525715,256,0.003125
3,30704.16249847412,88.63523356119792,256,0.0015625
3,0.0,0.0,512,0.1
3,0.0,0.0,512,0.05
3,-6.61142771292164e-17,-5.453089406567376e-21,512,0.025
3,26599.554934183758,63.132574717203774,512,0.0125
3,35248.212173461914,66.31869888305664,512,0.00625
3,27791.601318359375,82.71879577636719,512,0.003125
3,25026.150934855144,59.51466496785482,512,0.0015625
3,0.0,0.0,1024,0.1
3,0.0,0.0,1024,0.05
3,-1.582423422756537e-15,-1.0440647842250173e-18,1024,0.025
3,19099.517064412434,40.70976193745931,1024,0.0125
3,45237.352869669594,79.55994923909505,1024,0.00625
3,36123.80495198568,69.7147725423177,1024,0.003125
3,33030.386586507164,113.23922475179036,1024,0.0015625
4,0.0,0.0,16,0.1
4,-5.798573045376093e-41,-7.053202270434913e-44,16,0.05
4,-111042.31477864583,-990.6768391927084,16,0.025
4,9973.426379044851,132.50805155436197,16,0.0125
4,2872.677884578705,68.44567108154297,16,0.00625
4,46261.662689208984,58.265115102132164,16,0.003125
4,49388.00420125326,56.858463287353516,16,0.0015625
4,0.0,0.0,32,0.1
4,-6.768899782922025e-35,-3.1317222811729933e-38,32,0.05
4,41612.10718536377,148.6335906982422,32,0.025
4,49385.389811197914,72.91670099894206,32,0.0125
4,502614.56266276044,1119.04541015625,32,0.00625
4,51067.00789388021,81.4756685892741,32,0.003125
4,19847.00863647461,39.17640686035156,32,0.0015625
4,0.0,0.0,64,0.1
4,-1.0832867077774391e-21,-2.437566104461547e-25,64,0.05
4,1563153.3270263672,13791.0361328125,64,0.025
4,147928.6922302246,236.70567830403647,64,0.0125
4,80535.10154215495,152.56138865152994,64,0.00625
4,43520.25389607748,58.403001149495445,64,0.003125
4,30607.242881774902,92.88472239176433,64,0.0015625
4,0.0,0.0,128,0.1
4,-1.284344453758337e-30,-1.4625155253623088e-34,128,0.05
4,-1.254198916119324e-12,-2.7016314548352215e-16,128,0.025
4,54053.762354532875,104.52108510335286,128,0.0125
4,73755.40642293294,92.98548126220703,128,0.00625
4,35166.45663960775,69.09881083170573,128,0.003125
4,45860.70429992676,89.87813059488933,128,0.0015625
4,0.0,0.0,256,0.1
4,-8.846900236232058e-07,-9.752274839532523e-09,256,0.05
4,-4.349850444770875e-08,-1.2700006601917835e-09,256,0.025
4,20822.604026794434,50.53804397583008,256,0.0125
4,18918.566460927326,41.803147633870445,256,0.00625
4,33081.3783009847,65.72283554077148,256,0.003125
4,22520.117698669434,78.4104232788086,256,0.0015625
4,0.0,0.0,512,0.1
4,-3.4496418844009724e-21,-1.7900322445397904e-25,512,0.05
4,-4.048490956674389e-13,-1.4413206653342136e-17,512,0.025
4,35268.77648925781,64.62540435791016,512,0.0125
4,58263.822326660156,88.28090922037761,512,0.00625
4,19610.73781077067,44.598374684651695,512,0.003125
4,52707.004069010414,124.66063435872395,512,0.0015625
4,0.0,0.0,1024,0.1
4,0.0,0.0,1024,0.05
4,-3.025354579847215e-14,-2.2341034871634017e-18,1024,0.025
4,897.4881606449684,9.833444277445475,1024,0.0125
4,22356.47570546468,54.71167882283529,1024,0.00625
4,21441.260578155518,81.86150868733723,1024,0.003125
4,40923.45892715454,148.6947479248047,1024,0.0015625
5,0.0,0.0,16,0.1
5,-6.217401868759063e-30,-9.128799349722193e-34,16,0.05
5,29911.832257588703,107.06212615966797,16,0.025
5,143108.63236490884,509.68223063151044,16,0.0125
5,51776.49973551432,105.59096908569336,16,0.00625
5,52885.07895914713,125.61424509684245,16,0.003125
5,29445.540819803875,92.1727523803711,16,0.0015625
5,0.0,0.0,32,0.1
5,-1.5278896527702172e-23,-3.624163570590965e-27,32,0.05
5,1.2543967962265015,0.6271969676017761,32,0.025
5,69281.84694417317,122.6819559733073,32,0.0125
5,116492.21865844727,156.39265950520834,32,0.00625
