precision,emd,noise 5%,batch_size,learning_rate,type
2,2.925020376841227,3.405338446299235,64,0.0015625,standard
2,3.2411011854807534,3.7567666371663413,64,0.0015625,10% pruning + lambda JR 0.1
2,4.121577739715576,3.8962122599283853,64,0.0015625,25% pruning + lambda JR 0.1
2,4.402419884999593,4.461955865224202,64,0.0015625,50% pruning + lambda JR 0.1
2,4.181147813796997,4.7697451909383135,64,0.0015625,75% pruning + lambda JR 0.1
2,4.492735226949056,4.249382654825847,64,0.0015625,90% pruning + lambda JR 0.1
3,1.5340059995651245,2.3526033560434976,64,0.0015625,standard
3,1.5661506255467732,2.4687905311584473,64,0.0015625,10% pruning + lambda JR 0.1
3,1.6611803770065308,2.6058019399642944,64,0.0015625,25% pruning + lambda JR 0.1
3,1.7667513291041057,2.58050803343455,64,0.0015625,50% pruning + lambda JR 0.1
3,3.415310025215149,6.252240975697835,64,0.0015625,75% pruning + lambda JR 0.1
3,2.861475149790446,4.642687638600667,64,0.0015625,90% pruning + lambda JR 0.1
4,1.255314588546753,2.2355265617370605,64,0.0015625,standard
4,1.4462915658950806,2.442058523495992,64,0.0015625,10% pruning + lambda JR 0.1
4,1.4239792029062908,2.3892762660980225,64,0.0015625,25% pruning + lambda JR 0.1
4,1.4541123708089192,2.4592753648757935,64,0.0015625,50% pruning + lambda JR 0.1
4,1.6346136331558228,2.4877158403396606,64,0.0015625,75% pruning + lambda JR 0.1
4,1.6835700273513794,2.5335830052693686,64,0.0015625,90% pruning + lambda JR 0.1
5,1.203288992245992,2.433101693789164,64,0.0015625,standard
5,1.2692614793777466,2.319007317225138,64,0.0015625,10% pruning + lambda JR 0.1
5,1.2809878587722778,2.371789256731669,64,0.0015625,25% pruning + lambda JR 0.1
5,1.2888238032658894,2.3552643060684204,64,0.0015625,50% pruning + lambda JR 0.1
5,1.3743496735890706,2.3847647507985434,64,0.0015625,75% pruning + lambda JR 0.1
5,1.4251855611801147,2.4073835213979087,64,0.0015625,90% pruning + lambda JR 0.1
6,1.1911062002182007,2.773939847946167,64,0.0015625,standard
6,1.2339595158894856,2.2391165097554526,64,0.0015625,10% pruning + lambda JR 0.1
6,1.2432525952657063,2.2626825968424478,64,0.0015625,25% pruning + lambda JR 0.1
6,1.2249337832132976,2.2428060372670493,64,0.0015625,50% pruning + lambda JR 0.1
6,1.19357168674469,2.241949280103048,64,0.0015625,75% pruning + lambda JR 0.1
6,1.236753225326538,2.189335902531942,64,0.0015625,90% pruning + lambda JR 0.1
7,1.132470726966858,2.6537832021713257,64,0.0015625,standard
7,1.2452839612960815,2.2711549599965415,64,0.0015625,10% pruning + lambda JR 0.1
7,1.2142288287480671,2.245776971181234,64,0.0015625,25% pruning + lambda JR 0.1
7,1.2324879169464111,2.2750659386316934,64,0.0015625,50% pruning + lambda JR 0.1
7,1.1966226895650227,2.217983682950338,64,0.0015625,75% pruning + lambda JR 0.1
7,1.2609602212905884,2.26645561059316,64,0.0015625,90% pruning + lambda JR 0.1
8,1.127974510192871,2.7656349341074624,64,0.0015625,standard
8,1.2290149132410686,2.2522874673207602,64,0.0015625,10% pruning + lambda JR 0.1
8,1.2155769268671672,2.2528252601623535,64,0.0015625,25% pruning + lambda JR 0.1
8,1.207247257232666,2.2449798583984375,64,0.0015625,50% pruning + lambda JR 0.1
8,1.1927884022394817,2.2216527859369912,64,0.0015625,75% pruning + lambda JR 0.1
8,1.2919553915659587,2.3008362849553428,64,0.0015625,90% pruning + lambda JR 0.1
9,1.1438584327697754,2.529090921084086,64,0.0015625,standard
9,1.2169860204060872,2.2306373914082847,64,0.0015625,10% pruning + lambda JR 0.1
9,1.166744629542033,2.199057936668396,64,0.0015625,25% pruning + lambda JR 0.1
9,1.1710878610610962,2.2172020276387534,64,0.0015625,50% pruning + lambda JR 0.1
9,1.1941038370132446,2.265500823656718,64,0.0015625,75% pruning + lambda JR 0.1
9,1.2039097547531128,2.182595213254293,64,0.0015625,90% pruning + lambda JR 0.1
10,1.126236081123352,2.845029592514038,64,0.0015625,standard
10,1.1658496061960857,2.1864845752716064,64,0.0015625,10% pruning + lambda JR 0.1
10,1.1253939072291057,2.1805914640426636,64,0.0015625,25% pruning + lambda JR 0.1
10,1.1341613133748372,2.253746747970581,64,0.0015625,50% pruning + lambda JR 0.1
10,1.1871370077133179,2.463398297627767,64,0.0015625,75% pruning + lambda JR 0.1
10,1.2411438624064128,2.3816970189412436,64,0.0015625,90% pruning + lambda JR 0.1
11,1.1276167233784993,3.07780388991038,64,0.0015625,standard
11,1.235732118288676,2.235952456792196,64,0.0015625,10% pruning + lambda JR 0.1
11,1.1972907384236653,2.1992663145065308,64,0.0015625,25% pruning + lambda JR 0.1
11,1.1736024618148804,2.1900469064712524,64,0.0015625,50% pruning + lambda JR 0.1
11,1.1481122175852458,2.167479952176412,64,0.0015625,75% pruning + lambda JR 0.1
11,1.2044517993927002,2.245988368988037,64,0.0015625,90% pruning + lambda JR 0.1
2,3.0916452407836914,3.358797232309977,512,0.0015625,standard
2,3.241247018178304,3.3749173482259116,512,0.0015625,10% pruning + lambda JR 0.1
2,3.1706079641977944,3.346641461054484,512,0.0015625,25% pruning + lambda JR 0.1
2,3.311429023742676,3.398400147755941,512,0.0015625,50% pruning + lambda JR 0.1
2,3.2212042808532715,3.381883223851522,512,0.0015625,75% pruning + lambda JR 0.1
2,3.304259777069092,3.5135475794474282,512,0.0015625,90% pruning + lambda JR 0.1
3,1.5807191928227742,2.4335294167200723,512,0.0015625,standard
3,2.0257835388183594,2.410583972930908,512,0.0015625,10% pruning + lambda JR 0.1
3,1.5829323132832844,2.433538873990377,512,0.0015625,25% pruning + lambda JR 0.1
3,1.6138942639033,2.440610647201538,512,0.0015625,50% pruning + lambda JR 0.1
3,1.5630630254745483,2.4254968563715615,512,0.0015625,75% pruning + lambda JR 0.1
3,1.5726531346638997,2.490055958429972,512,0.0015625,90% pruning + lambda JR 0.1
4,1.7443809111913045,2.307533303896586,512,0.0015625,standard
4,1.3405528863271077,2.277554670969645,512,0.0015625,10% pruning + lambda JR 0.1
