precision,emd,noise 5%,noise 10%,noise 15%,noise 20%,batch_size,learning_rate,type
2,2.648247480392456,3.302821238835653,3.4411567846934,3.5951766967773438,3.7216978867848716,32,0.0015625,lambda JR 0.1
3,1.6070428689320881,2.5157687664031982,2.729629635810852,2.925534248352051,3.072784185409546,32,0.0015625,lambda JR 0.1
4,1.5071314573287964,2.478839079538981,2.7702850500742593,2.952045758565267,3.0897039572397866,32,0.0015625,lambda JR 0.1
5,1.3471451997756958,2.3879098892211914,2.713760574658712,2.9166469176610312,3.0630547205607095,32,0.0015625,lambda JR 0.1
6,1.27664848168691,2.25837242603302,2.5827512741088867,2.797534783681234,2.941058357556661,32,0.0015625,lambda JR 0.1
7,1.276104211807251,2.3408164580663047,2.640996297200521,2.847136616706848,2.997664292653402,32,0.0015625,lambda JR 0.1
8,1.2882631222407024,2.30369770526886,2.6292495330174765,2.8426925341288247,2.992401639620463,32,0.0015625,lambda JR 0.1
9,1.2207754055658977,2.3426536321640015,2.6869868834813437,2.8928805589675903,3.0303790171941123,32,0.0015625,lambda JR 0.1
10,1.305550495783488,2.380277633666992,2.706502397855123,2.911259134610494,3.0537943840026855,32,0.0015625,lambda JR 0.1
11,1.3399617671966553,2.3487913608551025,2.6595439116160073,2.86092480023702,3.0102086861928306,32,0.0015625,lambda JR 0.1
2,2.9214185873667398,3.6741740703582764,3.8273282845815024,3.970846096674601,4.085226058959961,32,0.0015625,lambda JR 0.01
3,1.6910030444463093,2.5344777504603067,2.7814016739527383,2.979787985483805,3.133505384127299,32,0.0015625,lambda JR 0.01
4,1.506505012512207,2.5146438678105674,2.80126690864563,3.0158522526423135,3.169925888379415,32,0.0015625,lambda JR 0.01
5,1.4240463972091675,2.4462587436040244,2.7430142958958945,2.961000839869181,3.101260860761007,32,0.0015625,lambda JR 0.01
6,1.342812180519104,2.379539688428243,2.700825810432434,2.916596293449402,3.063983162244161,32,0.0015625,lambda JR 0.01
7,1.317643165588379,2.4019211530685425,2.7443947394688926,2.9675021966298423,3.1138181686401367,32,0.0015625,lambda JR 0.01
8,1.2770105600357056,2.294529676437378,2.6362313429514566,2.835476040840149,2.9721751610438027,32,0.0015625,lambda JR 0.01
9,1.193109393119812,2.2702778577804565,2.60693359375,2.8119075695673623,2.954959750175476,32,0.0015625,lambda JR 0.01
10,1.2101771831512451,2.2998675107955933,2.654005845387777,2.878718614578247,3.035557667414347,32,0.0015625,lambda JR 0.01
11,1.176361123720805,2.2702368100484214,2.6035747130711875,2.811431129773458,2.9574010769526162,32,0.0015625,lambda JR 0.01
2,2.9472809632619223,3.678607781728109,3.7965222199757895,3.8956357638041177,3.990934213002523,32,0.0015625,lambda JR 0.001
3,1.6069273551305134,2.6169727643330893,2.8647234042485556,3.091253399848938,3.269401748975118,32,0.0015625,lambda JR 0.001
4,1.4970115820566814,2.495759208997091,2.779271721839905,2.9876479307810464,3.136539856592814,32,0.0015625,lambda JR 0.001
5,1.2857101758321126,2.413644234339396,2.7733830213546753,2.9833163022994995,3.1142331759134927,32,0.0015625,lambda JR 0.001
6,1.2839996019999187,2.435998797416687,2.777985413869222,2.9804619550704956,3.118511915206909,32,0.0015625,lambda JR 0.001
7,1.260157863299052,2.3702818155288696,2.726812720298767,2.9282875458399453,3.055626551310221,32,0.0015625,lambda JR 0.001
8,1.1659616629282634,2.3544413248697915,2.7153133948644004,2.9319006204605103,3.0710823138554892,32,0.0015625,lambda JR 0.001
9,1.20462965965271,2.390739599863688,2.7554852962493896,2.9504344860712686,3.0718729893366494,32,0.0015625,lambda JR 0.001
10,1.2278793652852376,2.416409651438395,2.748750607172648,2.9439101616541543,3.0639489889144897,32,0.0015625,lambda JR 0.001
11,1.3041703701019287,2.5290369590123496,2.9103963375091553,3.134276191393534,3.2738166650136313,32,0.0015625,lambda JR 0.001
2,2.893486658732096,3.424951712290446,3.5959537029266357,3.7471724351247153,3.870215813318888,32,0.0015625,lambda JR 0.0001
