precision,net_efficiency,batch_size,learning_rate
2,0.005529411430895848,16,0.1
2,0.04945599469000005,16,0.05
2,0.005969994302738298,16,0.025
2,0.003022844153958339,16,0.0125
2,0.11538753773199127,16,0.00625
2,0.16490419029014666,16,0.003125
2,0.20513095670159304,16,0.0015625
2,0.08625580869949205,32,0.1
2,0.07158141921617615,32,0.05
2,0.002820706032121353,32,0.025
2,0.03653881276927503,32,0.0125
2,0.1161890760446035,32,0.00625
2,0.16600179754131478,32,0.003125
2,0.15701006113289157,32,0.0015625
2,0.09279677475250117,64,0.1
2,0.0807694921555136,64,0.05
2,0.04364604084858576,64,0.025
2,0.09855751395179954,64,0.0125
2,0.07723829115041811,64,0.00625
2,0.15395951692181858,64,0.003125
2,0.1265532348579652,64,0.0015625
2,0.05431744991212454,128,0.1
2,5.472478697932525e-05,128,0.05
2,0.004601557286877368,128,0.025
2,0.06591370570441435,128,0.0125
2,0.13289019686114045,128,0.00625
2,0.13321747490645736,128,0.003125
2,0.28945030873313227,128,0.0015625
2,0.012973342784225815,256,0.1
2,0.002811829059501877,256,0.05
2,0.004142082630811045,256,0.025
2,0.07386492866526144,256,0.0125
2,0.15563223354547456,256,0.00625
2,0.28478236094834186,256,0.003125
2,0.15477945523159664,256,0.0015625
2,0.0028164864815528328,512,0.1
2,0.0026696425283353276,512,0.05
2,0.001118608346274005,512,0.025
2,0.09252825562462652,512,0.0125
2,0.17950657308252585,512,0.00625
2,0.16120651656492316,512,0.003125
2,0.14894971111073171,512,0.0015625
2,0.0037774138914790415,1024,0.1
2,5.472478697932525e-05,1024,0.05
2,0.0045959848305990305,1024,0.025
2,0.1080614757346767,1024,0.0125
2,0.1877520667282826,1024,0.00625
2,0.19217269105208953,1024,0.003125
2,0.20616784835318022,1024,0.0015625
3,5.472478697932525e-05,16,0.1
3,0.00034294725508526397,16,0.05
3,0.13090682262404807,16,0.025
3,0.41545576451086813,16,0.0125
3,0.45949918095762343,16,0.00625
3,0.6347871505197578,16,0.003125
3,0.5397382624659228,16,0.0015625
3,0.07335247045992109,32,0.1
3,0.02342254413315133,32,0.05
3,5.472478697932525e-05,32,0.025
3,0.4631709458138169,32,0.0125
3,0.5909789902708787,32,0.00625
3,0.6660902856583276,32,0.003125
3,0.5855441626451222,32,0.0015625
3,0.0011214267038490368,64,0.1
3,0.00013237670916776148,64,0.05
3,0.04195723958435603,64,0.025
3,0.009936386474797342,64,0.0125
3,0.5961758547926067,64,0.00625
3,0.6524067426937821,64,0.003125
3,0.7226460327680135,64,0.0015625
3,5.472478697932525e-05,128,0.1
3,5.472478697932525e-05,128,0.05
3,0.15404231947320474,128,0.025
3,0.10867870166247715,128,0.0125
3,0.6785303794068188,128,0.00625
3,0.6932493087814895,128,0.003125
3,0.5361146705048768,128,0.0015625
3,0.0027743578711755925,256,0.1
3,0.0010842866980696746,256,0.05
3,0.00417251120514081,256,0.025
3,0.5986646829315011,256,0.0125
3,0.5298307469619233,256,0.00625
3,0.6207542612715566,256,0.003125
3,0.657993028708585,256,0.0015625
3,0.007302761623892659,512,0.1
3,5.472478697932525e-05,512,0.05
3,0.005085469017693939,512,0.025
3,0.515553781097953,512,0.0125
3,0.6869951641731579,512,0.00625
3,0.6193567960138973,512,0.003125
3,0.6510745649066212,512,0.0015625
3,5.472478697932525e-05,1024,0.1
3,0.00416010043083386,1024,0.05
3,0.013561078939045243,1024,0.025
3,0.5779769577490278,1024,0.0125
3,0.659151434433449,1024,0.00625
3,0.6214365216782465,1024,0.003125
3,0.434033053972442,1024,0.0015625
4,0.006448452949665963,16,0.1
4,0.004301214007572406,16,0.05
4,0.1803384823991079,16,0.025
4,0.5235726329565006,16,0.0125
4,0.5480395413270233,16,0.00625
4,0.4936692497139809,16,0.003125
4,0.4820835715506223,16,0.0015625
4,0.00017492625552576022,32,0.1
4,0.002859308560060285,32,0.05
4,0.10808600648704783,32,0.025
4,0.39806845417950676,32,0.0125
4,0.5306433148873094,32,0.00625
4,0.6096341848831371,32,0.003125
4,0.4974984701521942,32,0.0015625
4,5.472478697932525e-05,64,0.1
4,5.472478697932525e-05,64,0.05
4,0.07039048504202278,64,0.025
4,0.5725166940165519,64,0.0125
4,0.4923518684622019,64,0.00625
4,0.5668567608600191,64,0.003125
4,0.5693395525087487,64,0.0015625
4,0.004795447930263202,128,0.1
4,5.472478697932525e-05,128,0.05
4,0.023897729434610993,128,0.025
4,0.46391972572626083,128,0.0125
4,0.621247142229662,128,0.00625
4,0.6423616824611665,128,0.003125
4,0.6703687057501524,128,0.0015625
4,5.472478697932525e-05,256,0.1
4,0.22081162048911487,256,0.05
4,0.0028364570132909605,256,0.025
4,0.38777068009898036,256,0.0125
4,0.4770490804106261,256,0.00625
4,0.6138746405903317,256,0.003125
4,0.5184086397774087,256,0.0015625
4,0.0036138769451335728,512,0.1
4,5.472478697932525e-05,512,0.05
4,0.0035611659094357587,512,0.025
4,0.4769358061022858,512,0.0125
4,0.6439643556760912,512,0.00625
4,0.5119069669325004,512,0.003125
4,0.5682978996934072,512,0.0015625
4,0.04225934035177634,1024,0.1
4,5.472478697932525e-05,1024,0.05
4,0.015344120017933479,1024,0.025
4,0.05934223228052761,1024,0.0125
4,0.46613862145013707,1024,0.00625
4,0.625126377268413,1024,0.003125
4,0.5815360622331103,1024,0.0015625
5,0.0010529931039308853,16,0.1
5,5.472478697932525e-05,16,0.05
5,0.1409911631103768,16,0.025
5,0.4375821911906507,16,0.0125
5,0.5172767530623641,16,0.00625
5,0.6141444270170242,16,0.003125
5,0.4750191236947663,16,0.0015625
5,5.472478697932525e-05,32,0.1
5,0.0016417888987387789,32,0.05
5,5.472478697932525e-05,32,0.025
5,0.614119367268648,32,0.0125
5,0.5053348356378791,32,0.00625
5,0.4410055790288462,32,0.003125
5,0.4847602901241263,32,0.0015625
5,5.472478697932525e-05,64,0.1
5,0.0019787348208393724,64,0.05
5,0.002870485970593781,64,0.025
5,0.523064679155356,64,0.0125
5,0.46509253020397395,64,0.00625
5,0.500501692079165,64,0.003125
5,0.5205145921331017,64,0.0015625
5,0.0008072782482603429,128,0.1
5,5.472478697932525e-05,128,0.05
5,0.19007923737647328,128,0.025
5,0.4809049256019704,128,0.0125
5,0.4550669612514712,128,0.00625
5,0.48697692168993795,128,0.003125
5,0.4312225258974583,128,0.0015625
5,5.472478697932525e-05,256,0.1
5,0.00471658301339417,256,0.05
5,0.027583360183453053,256,0.025
5,0.4201730079989177,256,0.0125
5,0.43349260974140347,256,0.00625
5,0.5207872435069973,256,0.003125
5,0.5251345407333629,256,0.0015625
5,0.0062725489831598384,512,0.1
5,5.472478697932525e-05,512,0.05
5,0.040142226150571635,512,0.025
5,0.3865131613434968,512,0.0125
5,0.5385595443106108,512,0.00625
5,0.4146960257450276,512,0.003125
5,0.4722338205434737,512,0.0015625
5,0.0026110454657378005,1024,0.1
5,5.472478697932525e-05,1024,0.05
5,0.050456411587613624,1024,0.025
5,0.42172296503231804,1024,0.0125
5,0.4972925886483414,1024,0.00625
