precision,cka,batch_size,learning_rate,type
2,0.618440513809522,512,0.0015625,0% pruning
3,0.8347158597575294,512,0.0015625,0% pruning
4,0.7731000085671743,512,0.0015625,0% pruning
5,0.8020649883482192,512,0.0015625,0% pruning
6,0.8268781006336212,512,0.0015625,0% pruning
7,0.8677167163954841,512,0.0015625,0% pruning
8,0.8225759532716539,512,0.0015625,0% pruning
9,0.7908422417110866,512,0.0015625,0% pruning
10,0.8419337007734511,512,0.0015625,0% pruning
11,0.7787261870172288,512,0.0015625,0% pruning
2,0.6169737461540434,512,0.0015625,10% pruning
3,0.6156723035706414,512,0.0015625,10% pruning
4,0.6856682648261387,512,0.0015625,10% pruning
5,0.6940288643042246,512,0.0015625,10% pruning
6,0.5749168131086562,512,0.0015625,10% pruning
7,0.6539679765701294,512,0.0015625,10% pruning
8,0.738560716311137,512,0.0015625,10% pruning
9,0.6016186078389486,512,0.0015625,10% pruning
10,0.590135524670283,512,0.0015625,10% pruning
11,0.8189382818010118,512,0.0015625,10% pruning
2,0.5395315041144689,512,0.0015625,25% pruning
3,0.6414951599306531,512,0.0015625,25% pruning
4,0.5848115401135551,512,0.0015625,25% pruning
5,0.7357316182719337,512,0.0015625,25% pruning
6,0.6682266708877351,512,0.0015625,25% pruning
7,0.5816835744513406,512,0.0015625,25% pruning
8,0.5984005845255322,512,0.0015625,25% pruning
9,0.7505526377095116,512,0.0015625,25% pruning
10,0.6381427695353826,512,0.0015625,25% pruning
11,0.835336446762085,512,0.0015625,25% pruning
2,0.4619561731815338,512,0.0015625,50% pruning
3,0.5497021625439326,512,0.0015625,50% pruning
4,0.6731285519070096,512,0.0015625,50% pruning
5,0.6686371101273431,512,0.0015625,50% pruning
6,0.6570054027769301,512,0.0015625,50% pruning
7,0.6094680163595412,512,0.0015625,50% pruning
8,0.5438013225793839,512,0.0015625,50% pruning
9,0.6543717467122607,512,0.0015625,50% pruning
10,0.6482972419924207,512,0.0015625,50% pruning
11,0.8152177664968703,512,0.0015625,50% pruning
2,0.1923291836347845,512,0.0015625,75% pruning
3,0.5516351925002204,512,0.0015625,75% pruning
4,0.6520495315392811,512,0.0015625,75% pruning
5,0.6773285302850935,512,0.0015625,75% pruning
6,0.6538024842739105,512,0.0015625,75% pruning
7,0.6753700739807553,512,0.0015625,75% pruning
8,0.0,512,0.0015625,75% pruning
9,0.706900977426105,512,0.0015625,75% pruning
10,0.6679473982916938,512,0.0015625,75% pruning
11,0.7258280879921384,512,0.0015625,75% pruning
2,0.5240027184287707,512,0.0015625,90% pruning
3,0.8424201905727386,512,0.0015625,90% pruning
4,0.9304905533790588,512,0.0015625,90% pruning
5,0.6349782165553834,512,0.0015625,90% pruning
6,0.5677886555592219,512,0.0015625,90% pruning
7,0.6748253289196227,512,0.0015625,90% pruning
8,0.0,512,0.0015625,90% pruning
9,0.0,512,0.0015625,90% pruning
10,0.5638022737370597,512,0.0015625,90% pruning
11,0.0,512,0.0015625,90% pruning
