precision,emd,noise 5%,noise 10%,noise 15%,noise 20%,batch_size,learning_rate,type
2,2.894218842188517,3.624307950337728,3.727183183034261,3.824721018473307,3.8967517217000327,32,0.0015625,standard
3,1.4285861651102703,2.3832316398620605,2.6732863585154214,2.896493156750997,3.0616825819015503,32,0.0015625,standard
4,1.2621989250183105,2.337668855985006,2.6751814683278403,2.9019071658452353,3.0695056915283203,32,0.0015625,standard
5,1.1512428919474285,2.5686501264572144,2.9420637289683023,3.1524638334910073,3.2782199382781982,32,0.0015625,standard
6,1.1627782980600994,2.7045863469441733,3.0118921597798667,3.18021559715271,3.278354525566101,32,0.0015625,standard
7,1.1954854726791382,2.826155185699463,3.156592011451721,3.2933788299560547,3.3824032147725425,32,0.0015625,standard
8,1.12701682249705,2.897283911705017,3.175194183985392,3.315701127052307,3.426334500312805,32,0.0015625,standard
9,1.1141450802485149,2.8950881958007812,3.2042946418126426,3.355308731396993,3.458331346511841,32,0.0015625,standard
10,1.1627522706985474,3.1389119625091553,3.44160528977712,3.6213785807291665,3.7514923413594565,32,0.0015625,standard
11,1.1531444787979126,3.1608471870422363,3.4514307578404746,3.6184714635213218,3.733121871948242,32,0.0015625,standard
2,2.925020376841227,3.405338446299235,3.4803354740142822,3.5544234911600747,3.6040263970692954,64,0.0015625,standard
3,1.5340059995651245,2.3526033560434976,2.6301143169403076,2.834807793299357,2.9804850419362388,64,0.0015625,standard
4,1.255314588546753,2.2355265617370605,2.5249764919281006,2.7151692708333335,2.8279494444529214,64,0.0015625,standard
5,1.203288992245992,2.433101693789164,2.731775919596354,2.865858475367228,2.9429104328155518,64,0.0015625,standard
6,1.1911062002182007,2.773939847946167,3.098209778467814,3.233151078224182,3.318527340888977,64,0.0015625,standard
7,1.132470726966858,2.6537832021713257,3.136152903238932,3.3812146186828613,3.536069711049398,64,0.0015625,standard
8,1.127974510192871,2.7656349341074624,3.0977142651875815,3.249281167984009,3.3431113958358765,64,0.0015625,standard
9,1.1438584327697754,2.529090921084086,2.7809025049209595,2.911227027575175,3.000833749771118,64,0.0015625,standard
10,1.126236081123352,2.845029592514038,3.134402791659037,3.2862621545791626,3.404520789782206,64,0.0015625,standard
11,1.1276167233784993,3.07780388991038,3.3793612718582153,3.5448158582051597,3.66398557027181,64,0.0015625,standard
2,2.7152910232543945,3.0588343143463135,3.2617958386739097,3.4464823404947915,3.5840211709340415,128,0.0015625,standard
