precision,accuracy,noise accuracy,batch_size,learning_rate,avg_cka,avg_EF,net_efficiency,trace,eigenvalue
2,0.59375,0.4884,32,0.0015625,0.5728672362036176,"{'EF_trace_w': array([1.6447902 , 0.31804827, 0.15244639, 0.29391748, 0.16431107,
       0.29165727, 0.7260158 , 0.8297541 , 0.5907163 , 0.32156825,
       0.20079845, 0.80861586, 0.6116836 , 0.9182795 , 0.14782548,
       3.239117  ], dtype=float32), 'EF_trace_a': array([0.04560309, 0.05914593, 0.0179111 , 0.08717148, 0.01468792,
       0.01468792, 0.36118728, 0.06982443, 0.15159173, 0.05142573,
       0.05142573, 0.46319783, 0.05297763, 0.45855868, 0.3808397 ],
      dtype=float32), 'avg_EF': 0.4697057}",,0,0
2,0.6075721383094788,0.505,64,0.0015625,0.6045922769440545,"{'EF_trace_w': array([1.6512934 , 0.21986619, 0.19541776, 0.31104004, 0.14792712,
       0.32206646, 0.6633408 , 0.85095674, 0.67365664, 0.42811415,
       0.21435197, 1.0005774 , 0.7889981 , 1.1028619 , 0.14556958,
       2.7816272 ], dtype=float32), 'EF_trace_a': array([0.08881159, 0.06741907, 0.016164  , 0.0853788 , 0.01288968,
       0.01288968, 0.46953216, 0.09343966, 0.19200894, 0.06136802,
       0.06136802, 0.5503595 , 0.06014524, 0.5400987 , 0.25096107],
      dtype=float32), 'avg_EF': 0.49486184}",,0,0
2,0.6414262652397156,0.5323,128,0.0015625,0.6158861799372567,"{'EF_trace_w': array([8.521155  , 1.9841744 , 1.2098721 , 2.285491  , 0.84429973,
       1.1864417 , 1.9243021 , 2.4449682 , 2.4195573 , 1.2433164 ,
       0.55484295, 1.8981719 , 1.4490485 , 1.8574101 , 0.2638262 ,
       2.2351935 ], dtype=float32), 'EF_trace_a': array([0.20957747, 0.10230073, 0.03588112, 0.14239512, 0.02141244,
       0.02141244, 0.20456004, 0.10882489, 0.19883424, 0.06187544,
       0.06187544, 0.33027962, 0.04073606, 0.22470142, 0.21473242],
      dtype=float32), 'avg_EF': 1.5498273}",,0,0
2,0.6556332111358643,0.5154,256,0.0015625,0.7381161981158786,"{'EF_trace_w': array([5.3066735 , 1.2547276 , 0.9949605 , 1.5502207 , 0.65487075,
       0.73893034, 1.5864557 , 2.3459697 , 2.8212957 , 1.5503867 ,
       0.54414374, 2.4705908 , 1.7571869 , 2.077863  , 0.23972341,
       1.4522867 ], dtype=float32), 'EF_trace_a': array([0.14547841, 0.06239123, 0.02640051, 0.10194042, 0.02074148,
       0.02074148, 0.18687113, 0.0989902 , 0.18873063, 0.05595121,
       0.05595121, 0.28759077, 0.03262369, 0.12880027, 0.12838309],
      dtype=float32), 'avg_EF': 1.3607947}",,0,0
2,-1.0,-1.0,512,0.0015625,0.618440513809522,"{'EF_trace_w': array([10.528871  ,  1.4250257 ,  1.3354036 ,  2.2425723 ,  1.0093377 ,
        1.1291178 ,  2.6071005 ,  3.5910442 ,  5.125812  ,  2.4261096 ,
        0.7498741 ,  3.195383  ,  2.223649  ,  2.3743095 ,  0.27649814,
        1.1570634 ], dtype=float32), 'EF_trace_a': array([0.05467489, 0.03046383, 0.01736338, 0.0419161 , 0.01444289,
       0.01444289, 0.11844004, 0.07101221, 0.09712408, 0.03269465,
       0.03269465, 0.13667816, 0.0236323 , 0.0486389 , 0.06929004],
      dtype=float32), 'avg_EF': 1.878926}",,0,0
2,-1.0,-1.0,1024,0.0015625,0.7373052421543334,"{'EF_trace_w': array([17.416857  ,  2.742148  ,  2.0254138 ,  4.1247067 ,  1.4728155 ,
        1.1209668 ,  3.4372838 ,  4.1605854 ,  5.38563   ,  3.2436292 ,
        0.7687543 ,  3.472024  ,  3.00269   ,  2.8513794 ,  0.23815925,
        1.2967805 ], dtype=float32), 'EF_trace_a': array([0.07485163, 0.0334452 , 0.01828956, 0.05874901, 0.01377155,
       0.01377155, 0.08461003, 0.04917786, 0.09283381, 0.02725373,
       0.02725373, 0.16405961, 0.02339342, 0.06913076, 0.06784549],
      dtype=float32), 'avg_EF': 2.3936658}",,0,0
3,0.7834535241127014,0.6263,32,0.0015625,0.8651506702105204,"{'EF_trace_w': array([1.3770487 , 0.12869467, 0.12166888, 0.2016867 , 0.1266181 ,
       0.17795789, 0.21928744, 0.3420728 , 0.27859646, 0.18476456,
       0.09026225, 0.27601832, 0.2345613 , 0.20947826, 0.03472573,
       0.7575417 ], dtype=float32), 'EF_trace_a': array([0.066052  , 0.06235961, 0.01967883, 0.20349632, 0.018822  ,
       0.018822  , 0.17740585, 0.12278056, 0.20646222, 0.07728218,
       0.07728218, 0.41146645, 0.06883988, 0.25186738, 0.14827634],
      dtype=float32), 'avg_EF': 0.20790392}",,0,0
3,0.7748397588729858,0.629,64,0.0015625,0.8064494298564063,"{'EF_trace_w': array([2.6749618 , 0.5484954 , 0.40311006, 0.43171757, 0.28165254,
       0.3000947 , 0.57816637, 0.7106998 , 0.46432906, 0.3194271 ,
       0.14447534, 0.5176352 , 0.37276685, 0.29762775, 0.04653854,
       0.8737583 ], dtype=float32), 'EF_trace_a': array([0.27401513, 0.10621598, 0.05403114, 0.18169142, 0.04514493,
       0.04514493, 0.22431614, 0.11228076, 0.15017447, 0.0618721 ,
       0.0618721 , 0.4001582 , 0.04355525, 0.21280307, 0.0897304 ],
      dtype=float32), 'avg_EF': 0.40081796}",,0,0
3,0.7818509340286255,0.6539,128,0.0015625,0.8420523504416149,"{'EF_trace_w': array([8.054944  , 0.69468665, 0.64051753, 0.6721203 , 0.539458  ,
       0.80119485, 1.2198929 , 1.6869954 , 1.4651222 , 0.86384284,
       0.3687456 , 1.067811  , 0.67714775, 0.54697895, 0.08157589,
       1.1710548 ], dtype=float32), 'EF_trace_a': array([0.18739338, 0.07781891, 0.04625569, 0.08930943, 0.0404169 ,
       0.0404169 , 0.25534993, 0.131476  , 0.16826397, 0.0595997 ,
       0.0595997 , 0.2937024 , 0.03025132, 0.09712169, 0.06931932],
      dtype=float32), 'avg_EF': 0.8148548}",,0,0
3,0.7925575375556946,0.6314,256,0.0015625,0.7569405502743192,"{'EF_trace_w': array([9.261341  , 1.587428  , 1.2412814 , 2.5932972 , 1.2132465 ,
       1.1430435 , 1.9972165 , 2.6984024 , 2.1454606 , 1.2759236 ,
       0.5851824 , 1.659814  , 1.1243136 , 0.8587072 , 0.12380096,
       1.2836976 ], dtype=float32), 'EF_trace_a': array([0.21443543, 0.08734027, 0.05352785, 0.21568722, 0.04156826,
       0.04156826, 0.19462079, 0.11375712, 0.1496156 , 0.0580918 ,
       0.0580918 , 0.27836454, 0.02970861, 0.09403676, 0.06015507],
      dtype=float32), 'avg_EF': 1.3644358}",,0,0
