precision,avg_EF,batch_size,learning_rate
2,"{'EF_trace_w': array([1.1159039e-13, 3.9345138e-15, 6.3609498e-15, 3.0482717e-14,
       3.1796092e-14, 3.1480824e-13, 2.8532919e-15, 1.9927238e-15,
       5.7095708e-15, 1.2447541e-15, 1.1682081e-14, 1.7205833e-15,
       1.3940758e-15, 1.1604098e-15, 1.2947256e-15, 1.2042624e-12],
      dtype=float32), 'EF_trace_a': array([4.0628312e-15, 7.7678480e-16, 4.1840327e-15, 1.4304781e-15,
       4.7967544e-15, 4.7967544e-15, 1.0546108e-15, 2.2524338e-15,
       7.4411416e-16, 1.3223099e-15, 1.3223099e-15, 1.8605803e-15,
       2.4665574e-15, 4.1186105e-15, 3.3302929e-13], dtype=float32), 'avg_EF': 8.966511e-15}",16,0.1
2,"{'EF_trace_w': array([0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00,
       0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00,
       0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00,
       3.31689e-40], dtype=float32), 'EF_trace_a': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.],
      dtype=float32), 'avg_EF': 0.0}",16,0.05
2,"{'EF_trace_w': array([1526.831  ,  275.51514,  468.4054 ,  117.99715,   60.27744,
        838.9033 , 2473.4336 ,  630.7708 ,  597.77673,  446.2185 ,
        302.10095,  909.1193 ,  883.9341 ,  953.38544,  337.8716 ,
       1094.9983 ], dtype=float32), 'EF_trace_a': array([ 816.5971 ,  388.3048 ,  287.09265,   89.02641,  500.5959 ,
        500.5959 , 1046.6161 ,  510.40482,  891.2483 ,  472.9205 ,
        472.9205 , 3641.3398 ,  120.38466, 2333.3877 , 1344.2797 ],
      dtype=float32), 'avg_EF': 532.5819}",16,0.025
2,"{'EF_trace_w': array([1258.1575  ,  127.88638 ,  347.61096 ,  123.351364,   78.75751 ,
        580.1901  ,  447.10077 ,  480.22144 ,  965.19995 ,  303.96017 ,
        183.70914 , 1105.0968  , 1349.9003  , 1110.2134  ,  264.12964 ,
        700.6948  ], dtype=float32), 'EF_trace_a': array([ 149.33202 ,  160.08461 ,   66.22223 ,  189.7572  ,   83.159325,
         83.159325,  830.6138  ,  346.93915 , 1398.3706  ,  276.6608  ,
        276.6608  , 4205.83    ,  890.0283  , 8138.7925  ,  295.98376 ],
      dtype=float32), 'avg_EF': 424.6518}",16,0.0125
2,"{'EF_trace_w': array([ 818.0406  ,  230.42586 ,  134.23297 ,   40.031967,   44.417423,
        248.04199 ,  600.0986  ,  739.2453  ,  501.67264 ,  189.06993 ,
        103.61447 ,  929.6949  ,  955.13794 , 1088.5024  ,  160.9062  ,
        489.7752  ], dtype=float32), 'EF_trace_a': array([   60.61922 ,   351.72852 ,    18.314634,   127.13936 ,
          25.798838,    25.798838,   984.6577  ,   136.37572 ,
         481.84875 ,   127.79767 ,   127.79767 ,  2926.4963  ,
         187.94444 , 10298.639   ,   174.78693 ], dtype=float32), 'avg_EF': 297.2063}",16,0.00625
2,"{'EF_trace_w': array([43.38615  , 14.941753 ,  6.8347073, 13.8719   ,  5.3348036,
       12.779296 , 20.529871 , 33.734776 , 36.44642  , 12.915012 ,
        7.266973 , 37.95983  , 35.047287 , 54.67703  ,  9.078423 ,
       52.606598 ], dtype=float32), 'EF_trace_a': array([  5.4610543,  12.455141 ,   1.1977067,  21.23188  ,   1.0635364,
         1.0635364,  31.842876 ,   7.2798567,  45.807556 ,   3.9812317,
         3.9812317, 115.98464  ,   8.887602 , 224.30194  ,  14.580871 ],
      dtype=float32), 'avg_EF': 19.21331}",16,0.003125
2,"{'EF_trace_w': array([1.40234   , 0.19434634, 0.24676633, 0.39825746, 0.1275885 ,
       0.22683986, 0.30438608, 0.35302293, 0.21043885, 0.1257281 ,
       0.12705745, 0.33223963, 0.26080382, 0.42211008, 0.10666627,
       3.059831  ], dtype=float32), 'EF_trace_a': array([0.04645223, 0.03888552, 0.01489029, 0.05538045, 0.01032035,
       0.01032035, 0.12004929, 0.04622662, 0.05965634, 0.03218022,
       0.03218022, 0.18306714, 0.02435783, 0.16204941, 0.3125477 ],
      dtype=float32), 'avg_EF': 0.29529563}",16,0.0015625
2,"{'EF_trace_w': array([1.5306165e-20, 6.6164129e-22, 2.4786578e-22, 6.8789469e-22,
       8.9970674e-22, 1.1202015e-21, 4.5269110e-22, 5.1190363e-22,
       9.2187144e-23, 9.8532028e-23, 9.1021472e-22, 3.8800799e-23,
       1.8872247e-21, 5.0040224e-23, 1.0404578e-21, 2.5154990e-18],
      dtype=float32), 'EF_trace_a': array([1.4462195e-21, 5.1007600e-22, 6.3459586e-22, 3.7590373e-22,
       5.1564488e-22, 5.1564488e-22, 5.0568524e-22, 4.0334655e-22,
       2.1968842e-22, 3.2037638e-22, 3.2037638e-22, 8.0538654e-22,
       9.8531872e-22, 2.0720972e-22, 2.2319897e-19], dtype=float32), 'avg_EF': 8.0640346e-22}",32,0.1
2,"{'EF_trace_w': array([2.1613575e-22, 4.4988095e-24, 2.3373957e-24, 7.9718055e-26,
       6.7271254e-26, 9.3852912e-24, 3.0663931e-24, 3.0626941e-24,
       9.9681071e-24, 8.0017164e-25, 1.2218326e-24, 3.2409293e-26,
       3.8784258e-25, 1.0920599e-23, 8.0678092e-25, 2.5572917e-22],
      dtype=float32), 'EF_trace_a': array([5.4906738e-24, 2.5690113e-24, 2.6021638e-24, 7.2170234e-26,
       3.5123077e-24, 3.5123077e-24, 8.7724741e-24, 6.3934005e-24,
       1.3997022e-24, 1.4659519e-24, 1.4659519e-24, 4.2320001e-25,
       4.4323223e-24, 8.8797842e-25, 2.8356899e-22], dtype=float32), 'avg_EF': 2.197873e-24}",32,0.05
2,"{'EF_trace_w': array([7.6048632e+00, 5.6064121e-02, 3.2407916e-03, 8.5366225e-01,
       6.2085539e-02, 2.4813874e+00, 7.1864939e-01, 8.1349957e-01,
       1.2243675e-01, 1.4186534e-01, 7.7779049e-01, 1.2342695e+00,
       1.2951989e+00, 2.9753900e+00, 8.1162834e-01, 3.9468201e+01],
      dtype=float32), 'EF_trace_a': array([4.9947575e-01, 5.1736552e-03, 6.2727773e-01, 6.4311460e-02,
       1.1945126e+00, 1.1945126e+00, 5.6179893e-01, 6.7350847e-01,
       1.4981237e-01, 5.5951953e-01, 5.5951953e-01, 1.8405546e+00,
       9.2106760e-01, 1.2958707e+00, 1.1928015e+01], dtype=float32), 'avg_EF': 0.5905255}",32,0.025
