precision,net_efficiency,batch_size,learning_rate
2,,16,0.1
2,,16,0.05
2,,16,0.025
2,,16,0.0125
2,,16,0.00625
2,,16,0.003125
2,,16,0.0015625
2,,32,0.1
2,,32,0.05
2,,32,0.025
2,,32,0.0125
2,,32,0.00625
2,,32,0.003125
2,,32,0.0015625
2,,64,0.1
2,,64,0.05
2,,64,0.025
2,,64,0.0125
2,,64,0.00625
2,,64,0.003125
2,,64,0.0015625
2,,128,0.1
2,,128,0.05
2,,128,0.025
2,,128,0.0125
2,,128,0.00625
2,,128,0.003125
2,,128,0.0015625
2,,256,0.1
2,,256,0.05
2,,256,0.025
2,,256,0.0125
2,,256,0.00625
2,,256,0.003125
2,,256,0.0015625
2,,512,0.1
2,,512,0.05
2,,512,0.025
2,,512,0.0125
2,,512,0.00625
2,,512,0.003125
2,,512,0.0015625
2,,1024,0.1
2,,1024,0.05
2,,1024,0.025
2,,1024,0.0125
2,,1024,0.00625
2,,1024,0.003125
2,,1024,0.0015625
3,,16,0.1
3,,16,0.05
3,,16,0.025
3,,16,0.0125
3,,16,0.00625
3,,16,0.003125
3,,16,0.0015625
3,,32,0.1
3,,32,0.05
3,,32,0.025
3,,32,0.0125
3,,32,0.00625
3,,32,0.003125
3,,32,0.0015625
3,,64,0.1
3,,64,0.05
3,,64,0.025
3,,64,0.0125
3,,64,0.00625
3,,64,0.003125
3,,64,0.0015625
3,,128,0.1
3,,128,0.05
3,,128,0.025
3,,128,0.0125
3,,128,0.00625
3,,128,0.003125
3,,128,0.0015625
3,,256,0.1
3,,256,0.05
3,,256,0.025
3,,256,0.0125
3,,256,0.00625
3,,256,0.003125
3,,256,0.0015625
3,,512,0.1
3,,512,0.05
3,,512,0.025
3,,512,0.0125
3,,512,0.00625
3,,512,0.003125
3,,512,0.0015625
3,,1024,0.1
3,,1024,0.05
3,,1024,0.025
3,,1024,0.0125
3,,1024,0.00625
3,,1024,0.003125
3,,1024,0.0015625
4,,16,0.1
4,,16,0.05
4,,16,0.025
4,,16,0.0125
4,,16,0.00625
4,,16,0.003125
4,,16,0.0015625
4,,32,0.1
4,,32,0.05
4,,32,0.025
4,,32,0.0125
4,,32,0.00625
4,,32,0.003125
4,,32,0.0015625
4,,64,0.1
4,,64,0.05
4,,64,0.025
4,,64,0.0125
4,,64,0.00625
4,,64,0.003125
4,,64,0.0015625
4,,128,0.1
4,,128,0.05
4,,128,0.025
4,,128,0.0125
4,,128,0.00625
4,,128,0.003125
4,,128,0.0015625
4,,256,0.1
4,,256,0.05
4,,256,0.025
4,,256,0.0125
4,,256,0.00625
4,,256,0.003125
4,,256,0.0015625
4,,512,0.1
4,,512,0.05
4,,512,0.025
4,,512,0.0125
4,,512,0.00625
4,,512,0.003125
4,,512,0.0015625
4,,1024,0.1
4,,1024,0.05
4,,1024,0.025
4,,1024,0.0125
4,,1024,0.00625
4,,1024,0.003125
4,,1024,0.0015625
5,,16,0.1
5,,16,0.05
5,,16,0.025
5,,16,0.0125
5,,16,0.00625
5,,16,0.003125
5,,16,0.0015625
5,,32,0.1
5,,32,0.05
5,,32,0.025
5,,32,0.0125
5,,32,0.00625
5,,32,0.003125
5,,32,0.0015625
5,,64,0.1
5,,64,0.05
5,,64,0.025
5,,64,0.0125
5,,64,0.00625
5,,64,0.003125
5,,64,0.0015625
5,,128,0.1
5,,128,0.05
5,,128,0.025
5,,128,0.0125
5,,128,0.00625
5,,128,0.003125
5,,128,0.0015625
5,,256,0.1
5,,256,0.05
5,,256,0.025
5,,256,0.0125
5,,256,0.00625
5,,256,0.003125
5,,256,0.0015625
5,,512,0.1
5,,512,0.05
5,,512,0.025
5,,512,0.0125
5,,512,0.00625
5,,512,0.003125
5,,512,0.0015625
5,,1024,0.1
5,,1024,0.05
5,,1024,0.025
5,,1024,0.0125
5,,1024,0.00625
5,,1024,0.003125
5,,1024,0.0015625
6,,16,0.1
6,,16,0.05
6,,16,0.025
6,,16,0.0125
6,,16,0.00625
6,,16,0.003125
6,,16,0.0015625
6,,32,0.1
6,,32,0.05
6,,32,0.025
6,,32,0.0125
6,,32,0.00625
6,,32,0.003125
6,,32,0.0015625
6,,64,0.1
6,,64,0.05
6,,64,0.025
6,,64,0.0125
6,,64,0.00625
6,,64,0.003125
6,,64,0.0015625
6,,128,0.1
6,,128,0.05
6,,128,0.025
6,,128,0.0125
6,,128,0.00625
6,,128,0.003125
6,,128,0.0015625
6,,256,0.1
6,,256,0.05
6,,256,0.025
6,,256,0.0125
6,,256,0.00625
6,,256,0.003125
6,,256,0.0015625
6,,512,0.1
6,,512,0.05
6,,512,0.025
6,,512,0.0125
6,,512,0.00625
6,,512,0.003125
6,,512,0.0015625
6,,1024,0.1
6,,1024,0.05
6,,1024,0.025
6,,1024,0.0125
6,,1024,0.00625
6,,1024,0.003125
6,,1024,0.0015625
7,,16,0.1
7,,16,0.05
7,,16,0.025
7,,16,0.0125
7,,16,0.00625
