precision,accuracy,noise accuracy,batch_size,learning_rate
2,-1.0,-1,16,0.1
2,-1.0,-1,16,0.05
2,-1.0,-1,16,0.025
2,-1.0,-1,16,0.0125
2,-1.0,-1,16,0.00625
2,-1.0,-1,16,0.003125
2,-1.0,-1,16,0.0015625
2,-1.0,-1,32,0.1
2,-1.0,-1,32,0.05
2,-1.0,-1,32,0.025
2,-1.0,-1,32,0.0125
2,-1.0,-1,32,0.00625
2,-1.0,-1,32,0.003125
2,-1.0,-1,32,0.0015625
2,-1.0,-1,64,0.1
2,-1.0,-1,64,0.05
2,-1.0,-1,64,0.025
2,-1.0,-1,64,0.0125
2,-1.0,-1,64,0.00625
2,-1.0,-1,64,0.003125
2,-1.0,-1,64,0.0015625
2,-1.0,-1,128,0.1
2,-1.0,-1,128,0.05
2,-1.0,-1,128,0.025
2,-1.0,-1,128,0.0125
2,-1.0,-1,128,0.00625
2,-1.0,-1,128,0.003125
2,-1.0,-1,128,0.0015625
2,-1.0,-1,256,0.1
2,-1.0,-1,256,0.05
2,-1.0,-1,256,0.025
2,-1.0,-1,256,0.0125
2,-1.0,-1,256,0.00625
2,-1.0,-1,256,0.003125
2,0.5992187261581421,-1,256,0.0015625
2,-1.0,-1,512,0.1
2,-1.0,-1,512,0.05
2,-1.0,-1,512,0.025
2,-1.0,-1,512,0.0125
2,-1.0,-1,512,0.00625
2,-1.0,-1,512,0.003125
2,0.5784040093421936,-1,512,0.0015625
2,-1.0,-1,1024,0.1
2,-1.0,-1,1024,0.05
2,-1.0,-1,1024,0.025
2,-1.0,-1,1024,0.0125
2,-1.0,-1,1024,0.00625
2,-1.0,-1,1024,0.003125
2,0.6022135615348816,-1,1024,0.0015625
3,-1.0,-1,16,0.1
3,-1.0,-1,16,0.05
3,-1.0,-1,16,0.025
3,-1.0,-1,16,0.0125
3,-1.0,-1,16,0.00625
3,-1.0,-1,16,0.003125
3,-1.0,-1,16,0.0015625
3,-1.0,-1,32,0.1
3,-1.0,-1,32,0.05
3,-1.0,-1,32,0.025
3,-1.0,-1,32,0.0125
3,-1.0,-1,32,0.00625
3,-1.0,-1,32,0.003125
3,-1.0,-1,32,0.0015625
3,-1.0,-1,64,0.1
3,-1.0,-1,64,0.05
3,-1.0,-1,64,0.025
3,-1.0,-1,64,0.0125
3,-1.0,-1,64,0.00625
3,-1.0,-1,64,0.003125
3,-1.0,-1,64,0.0015625
3,-1.0,-1,128,0.1
3,-1.0,-1,128,0.05
3,-1.0,-1,128,0.025
3,-1.0,-1,128,0.0125
3,-1.0,-1,128,0.00625
3,-1.0,-1,128,0.003125
3,0.6181955933570862,-1,128,0.0015625
3,-1.0,-1,256,0.1
3,-1.0,-1,256,0.05
3,-1.0,-1,256,0.025
3,-1.0,-1,256,0.0125
3,-1.0,-1,256,0.00625
3,-1.0,-1,256,0.003125
3,0.7203124761581421,-1,256,0.0015625
3,-1.0,-1,512,0.1
3,-1.0,-1,512,0.05
3,-1.0,-1,512,0.025
3,-1.0,-1,512,0.0125
3,-1.0,-1,512,0.00625
3,-1.0,-1,512,0.003125
3,0.7215401530265808,-1,512,0.0015625
3,-1.0,-1,1024,0.1
3,-1.0,-1,1024,0.05
3,-1.0,-1,1024,0.025
3,-1.0,-1,1024,0.0125
